OSCNETPLUS Image Quality Evaluation
Date: 2025-03-14 12:24:17
Results Directory: /home/mcosta/PycharmProjects/OSCNet/OSCNet/save_results

Filename                         PSNR        SSIM
--------------------------------------------------
1297.png                        34.99      0.9846
1298.png                        34.06      0.9765
1299.png                        42.07      0.9887
13.png                          37.39      0.9818
130.png                         39.09      0.9882
1300.png                        45.22      0.9909
1301.png                        40.06      0.9915
1302.png                        33.87      0.9796
1303.png                        36.82      0.9849
1304.png                        41.74      0.9936
1305.png                        42.25      0.9945
1306.png                        42.26      0.9940
1307.png                        36.78      0.9859
1308.png                        36.84      0.9801
1309.png                        41.58      0.9922
131.png                         41.18      0.9900
1310.png                        41.43      0.9921
1311.png                        39.96      0.9920
1312.png                        32.81      0.9794
1313.png                        37.17      0.9850
1314.png                        42.80      0.9933
1315.png                        46.09      0.9951
1316.png                        42.10      0.9940
1317.png                        37.18      0.9876
1318.png                        37.33      0.9804
1319.png                        41.16      0.9913
132.png                         35.33      0.9775
1320.png                        43.27      0.9930
1321.png                        40.24      0.9918
1322.png                        35.07      0.9785
1323.png                        37.81      0.9852
1324.png                        46.91      0.9934
1325.png                        38.21      0.9929
1326.png                        36.45      0.9925
1327.png                        36.72      0.9861
1328.png                        33.35      0.9796
1329.png                        36.30      0.9896
133.png                         37.73      0.9834
1330.png                        46.38      0.9922
1331.png                        32.91      0.9894
1332.png                        31.86      0.9779
1333.png                        34.57      0.9831
1334.png                        45.46      0.9935
1335.png                        45.96      0.9943
1336.png                        45.39      0.9943
1337.png                        39.73      0.9862
1338.png                        34.92      0.9761
1339.png                        42.80      0.9923
134.png                         42.28      0.9916
1340.png                        44.22      0.9921
1341.png                        43.55      0.9916
1342.png                        33.81      0.9775
1343.png                        34.97      0.9822
1344.png                        41.05      0.9914
1345.png                        42.38      0.9931
1346.png                        43.36      0.9935
1347.png                        37.64      0.9841
1348.png                        33.21      0.9736
1349.png                        42.93      0.9925
135.png                         43.06      0.9930
1350.png                        41.75      0.9921
1351.png                        42.64      0.9920
1352.png                        33.43      0.9788
1353.png                        36.85      0.9837
1354.png                        44.91      0.9934
1355.png                        44.34      0.9940
1356.png                        45.75      0.9936
1357.png                        40.06      0.9872
1358.png                        39.62      0.9809
1359.png                        41.24      0.9894
136.png                         41.97      0.9918
1360.png                        43.62      0.9908
1361.png                        36.67      0.9890
1362.png                        29.15      0.9733
1363.png                        33.65      0.9835
1364.png                        37.66      0.9914
1365.png                        38.55      0.9931
1366.png                        38.95      0.9923
1367.png                        36.18      0.9847
1368.png                        37.85      0.9777
1369.png                        40.14      0.9906
137.png                         38.14      0.9834
1370.png                        38.50      0.9908
1371.png                        45.95      0.9929
1372.png                        35.42      0.9786
1373.png                        37.86      0.9850
1374.png                        47.12      0.9936
1375.png                        47.99      0.9951
1376.png                        47.38      0.9943
1377.png                        38.49      0.9862
1378.png                        38.19      0.9791
1379.png                        44.78      0.9912
138.png                         36.13      0.9733
1380.png                        45.64      0.9927
1381.png                        39.65      0.9896
1382.png                        33.51      0.9754
1383.png                        36.64      0.9828
1384.png                        39.41      0.9916
1385.png                        40.28      0.9931
1386.png                        40.07      0.9930
1387.png                        35.93      0.9845
1388.png                        35.17      0.9770
1389.png                        39.77      0.9895
139.png                         40.68      0.9898
1390.png                        39.42      0.9897
1391.png                        42.98      0.9903
1392.png                        34.16      0.9746
1393.png                        38.10      0.9837
1394.png                        46.01      0.9930
1395.png                        47.50      0.9940
1396.png                        47.28      0.9939
1397.png                        36.42      0.9837
1398.png                        34.11      0.9719
1399.png                        41.62      0.9903
14.png                          36.25      0.9890
140.png                         40.53      0.9894
1400.png                        42.84      0.9912
1401.png                        45.90      0.9923
1402.png                        35.25      0.9802
1403.png                        38.32      0.9840
1404.png                        47.09      0.9936
1405.png                        47.83      0.9948
1406.png                        47.63      0.9946
1407.png                        39.75      0.9865
1408.png                        39.27      0.9794
1409.png                        45.18      0.9918
141.png                         39.69      0.9900
1410.png                        45.80      0.9925
1411.png                        46.83      0.9931
1412.png                        35.34      0.9790
1413.png                        39.28      0.9842
1414.png                        47.39      0.9934
1415.png                        48.46      0.9954
1416.png                        47.77      0.9944
1417.png                        38.26      0.9873
1418.png                        37.94      0.9802
1419.png                        43.19      0.9909
142.png                         34.09      0.9770
1420.png                        44.58      0.9915
1421.png                        42.35      0.9895
1422.png                        34.55      0.9732
1423.png                        38.91      0.9828
1424.png                        45.24      0.9921
1425.png                        47.64      0.9942
1426.png                        47.04      0.9939
1427.png                        37.76      0.9842
1428.png                        34.72      0.9707
1429.png                        41.08      0.9907
143.png                         36.42      0.9850
1430.png                        45.09      0.9922
1431.png                        41.37      0.9896
1432.png                        33.20      0.9754
1433.png                        36.19      0.9832
1434.png                        45.23      0.9923
1435.png                        44.68      0.9926
1436.png                        47.46      0.9937
1437.png                        35.16      0.9830
1438.png                        34.59      0.9742
1439.png                        45.01      0.9908
144.png                         40.21      0.9916
1440.png                        45.94      0.9919
1441.png                        43.57      0.9914
1442.png                        26.27      0.9655
1443.png                        37.53      0.9827
1444.png                        45.14      0.9928
1445.png                        45.12      0.9943
1446.png                        44.24      0.9938
1447.png                        40.56      0.9862
1448.png                        36.55      0.9756
1449.png                        41.75      0.9906
145.png                         40.27      0.9932
1450.png                        41.82      0.9912
1451.png                        45.63      0.9914
1452.png                        31.64      0.9764
1453.png                        35.75      0.9824
1454.png                        44.54      0.9929
1455.png                        45.51      0.9940
1456.png                        45.23      0.9948
1457.png                        37.29      0.9859
1458.png                        35.94      0.9762
1459.png                        41.72      0.9905
146.png                         40.24      0.9916
1460.png                        43.09      0.9923
1461.png                        44.65      0.9922
1462.png                        35.24      0.9798
1463.png                        39.27      0.9864
1464.png                        46.59      0.9938
1465.png                        49.04      0.9945
1466.png                        49.25      0.9951
1467.png                        42.75      0.9870
1468.png                        39.87      0.9791
1469.png                        47.00      0.9930
147.png                         35.46      0.9839
1470.png                        46.93      0.9930
1471.png                        42.84      0.9923
1472.png                        32.84      0.9775
1473.png                        37.04      0.9840
1474.png                        46.79      0.9942
1475.png                        48.15      0.9950
1476.png                        48.04      0.9950
1477.png                        42.99      0.9875
1478.png                        40.43      0.9783
1479.png                        44.40      0.9918
148.png                         33.89      0.9758
1480.png                        45.24      0.9930
1481.png                        41.96      0.9912
1482.png                        32.47      0.9762
1483.png                        35.08      0.9829
1484.png                        43.34      0.9924
1485.png                        44.16      0.9931
1486.png                        45.05      0.9938
1487.png                        38.50      0.9866
1488.png                        34.96      0.9765
1489.png                        40.65      0.9908
149.png                         39.09      0.9896
1490.png                        43.61      0.9912
1491.png                        41.82      0.9907
1492.png                        33.16      0.9763
1493.png                        36.04      0.9827
1494.png                        41.64      0.9912
1495.png                        42.64      0.9925
1496.png                        42.27      0.9931
1497.png                        40.64      0.9843
1498.png                        37.68      0.9756
1499.png                        41.78      0.9908
15.png                          36.78      0.9915
150.png                         39.50      0.9900
1500.png                        40.54      0.9917
1501.png                        40.67      0.9908
1502.png                        32.23      0.9773
1503.png                        32.30      0.9825
1504.png                        45.23      0.9926
1505.png                        46.35      0.9929
1506.png                        47.20      0.9937
1507.png                        38.21      0.9854
1508.png                        35.26      0.9751
1509.png                        42.26      0.9907
151.png                         39.86      0.9893
1510.png                        44.29      0.9910
1511.png                        44.02      0.9925
1512.png                        33.35      0.9782
1513.png                        37.25      0.9858
1514.png                        45.18      0.9932
1515.png                        46.18      0.9943
1516.png                        45.57      0.9944
1517.png                        38.27      0.9865
1518.png                        35.66      0.9770
1519.png                        41.04      0.9905
152.png                         34.98      0.9768
1520.png                        43.10      0.9909
1521.png                        41.57      0.9911
1522.png                        31.90      0.9762
1523.png                        35.95      0.9842
1524.png                        42.19      0.9920
1525.png                        43.08      0.9930
1526.png                        42.69      0.9935
1527.png                        40.15      0.9871
1528.png                        36.56      0.9772
1529.png                        40.94      0.9907
153.png                         37.23      0.9832
1530.png                        42.55      0.9908
1531.png                        39.69      0.9899
1532.png                        32.28      0.9767
1533.png                        34.64      0.9826
1534.png                        43.02      0.9922
1535.png                        42.41      0.9930
1536.png                        43.11      0.9938
1537.png                        39.84      0.9856
1538.png                        37.49      0.9780
1539.png                        39.06      0.9896
154.png                         41.31      0.9912
1540.png                        41.65      0.9912
1541.png                        41.61      0.9919
1542.png                        34.18      0.9782
1543.png                        37.87      0.9852
1544.png                        47.24      0.9941
1545.png                        44.16      0.9943
1546.png                        48.69      0.9954
1547.png                        37.69      0.9858
1548.png                        36.03      0.9803
1549.png                        44.64      0.9933
155.png                         40.25      0.9919
1550.png                        41.44      0.9922
1551.png                        39.38      0.9900
1552.png                        33.30      0.9755
1553.png                        37.92      0.9836
1554.png                        43.14      0.9929
1555.png                        41.20      0.9928
1556.png                        43.06      0.9944
1557.png                        39.26      0.9837
1558.png                        38.18      0.9762
1559.png                        42.50      0.9920
156.png                         41.14      0.9921
1560.png                        41.25      0.9900
1561.png                        39.90      0.9892
1562.png                        26.43      0.9633
1563.png                        31.85      0.9791
1564.png                        42.90      0.9906
1565.png                        40.93      0.9917
1566.png                        47.68      0.9933
1567.png                        38.90      0.9841
1568.png                        33.77      0.9729
1569.png                        41.34      0.9898
157.png                         39.87      0.9843
1570.png                        44.17      0.9913
1571.png                        40.82      0.9925
1572.png                        32.10      0.9779
1573.png                        32.12      0.9815
1574.png                        45.38      0.9936
1575.png                        44.07      0.9945
1576.png                        48.46      0.9958
1577.png                        38.86      0.9853
1578.png                        35.46      0.9729
1579.png                        43.54      0.9929
158.png                         39.04      0.9760
1580.png                        45.23      0.9936
1581.png                        48.37      0.9949
1582.png                        29.32      0.9755
1583.png                        32.55      0.9835
1584.png                        46.04      0.9933
1585.png                        42.84      0.9954
1586.png                        49.96      0.9956
1587.png                        37.63      0.9881
1588.png                        39.07      0.9823
1589.png                        42.33      0.9923
159.png                         39.74      0.9894
1590.png                        46.53      0.9932
1591.png                        39.03      0.9933
1592.png                        33.30      0.9780
1593.png                        37.02      0.9874
1594.png                        46.38      0.9950
1595.png                        43.71      0.9956
1596.png                        45.01      0.9945
1597.png                        35.57      0.9859
1598.png                        35.98      0.9808
1599.png                        43.97      0.9944
16.png                          41.19      0.9914
160.png                         39.28      0.9881
1600.png                        46.05      0.9946
1601.png                        43.08      0.9933
1602.png                        25.28      0.9682
1603.png                        30.06      0.9833
1604.png                        46.15      0.9955
1605.png                        45.20      0.9953
1606.png                        48.20      0.9957
1607.png                        37.06      0.9880
1608.png                        36.67      0.9831
1609.png                        45.99      0.9947
161.png                         36.59      0.9877
1610.png                        44.94      0.9949
1611.png                        39.92      0.9942
1612.png                        35.12      0.9806
1613.png                        34.58      0.9858
1614.png                        46.18      0.9944
1615.png                        44.26      0.9954
1616.png                        46.42      0.9946
1617.png                        37.68      0.9871
1618.png                        38.53      0.9799
1619.png                        46.50      0.9937
162.png                         33.65      0.9753
1620.png                        43.88      0.9935
1621.png                        44.24      0.9929
1622.png                        31.47      0.9747
1623.png                        31.46      0.9813
1624.png                        42.18      0.9937
1625.png                        39.72      0.9938
1626.png                        41.89      0.9939
1627.png                        35.81      0.9855
1628.png                        35.53      0.9779
1629.png                        41.35      0.9922
163.png                         36.79      0.9823
1630.png                        42.25      0.9921
1631.png                        41.87      0.9914
1632.png                        34.73      0.9773
1633.png                        38.54      0.9850
1634.png                        47.35      0.9939
1635.png                        48.73      0.9950
1636.png                        47.19      0.9940
1637.png                        39.64      0.9854
1638.png                        36.64      0.9762
1639.png                        42.83      0.9903
164.png                         41.38      0.9907
