OSCNet Image Quality Evaluation
Date: 2025-03-12 17:22:40
Results Directory: /home/mcosta/PycharmProjects/OSCNet/OSCNet/save_results

Filename                         PSNR        SSIM
--------------------------------------------------
1251.png                        44.66      0.9920
1252.png                        36.19      0.9821
1253.png                        35.16      0.9849
1254.png                        43.47      0.9929
1255.png                        40.85      0.9918
1256.png                        47.30      0.9941
1257.png                        40.83      0.9872
1258.png                        33.76      0.9774
1259.png                        42.85      0.9909
126.png                         45.06      0.9915
1260.png                        44.42      0.9914
1261.png                        42.67      0.9914
1262.png                        35.71      0.9810
1263.png                        35.28      0.9855
1264.png                        46.14      0.9939
1265.png                        43.25      0.9933
1266.png                        46.53      0.9939
1267.png                        35.66      0.9852
1268.png                        35.27      0.9798
1269.png                        43.06      0.9909
127.png                         39.80      0.9840
1270.png                        44.69      0.9909
1271.png                        39.68      0.9904
1272.png                        35.15      0.9806
1273.png                        36.93      0.9857
1274.png                        47.20      0.9939
1275.png                        39.78      0.9928
1276.png                        47.80      0.9945
1277.png                        40.14      0.9879
1278.png                        39.11      0.9804
1279.png                        42.40      0.9910
128.png                         36.42      0.9725
1280.png                        45.76      0.9922
1281.png                        42.70      0.9918
1282.png                        35.16      0.9828
1283.png                        35.50      0.9849
1284.png                        45.53      0.9930
1285.png                        43.22      0.9927
1286.png                        44.48      0.9940
1287.png                        40.98      0.9868
1288.png                        36.91      0.9798
1289.png                        44.84      0.9921
129.png                         40.63      0.9876
1290.png                        44.39      0.9921
1291.png                        42.38      0.9910
1292.png                        36.56      0.9801
1293.png                        36.67      0.9831
1294.png                        45.16      0.9922
1295.png                        40.69      0.9905
1296.png                        45.78      0.9932
1297.png                        35.21      0.9847
1298.png                        34.65      0.9770
1299.png                        43.73      0.9899
13.png                          36.47      0.9814
130.png                         42.77      0.9880
1300.png                        44.18      0.9907
1301.png                        41.47      0.9915
1302.png                        36.00      0.9815
1303.png                        35.83      0.9854
1304.png                        46.91      0.9939
1305.png                        42.98      0.9927
1306.png                        47.02      0.9940
1307.png                        37.16      0.9862
1308.png                        35.79      0.9795
1309.png                        43.98      0.9913
131.png                         44.53      0.9907
1310.png                        45.29      0.9919
1311.png                        40.73      0.9922
1312.png                        34.74      0.9819
1313.png                        35.20      0.9845
1314.png                        46.97      0.9935
1315.png                        41.80      0.9929
1316.png                        47.13      0.9945
1317.png                        38.46      0.9884
1318.png                        37.66      0.9809
1319.png                        43.96      0.9910
132.png                         38.54      0.9815
1320.png                        46.04      0.9924
1321.png                        45.28      0.9919
1322.png                        35.90      0.9807
1323.png                        36.79      0.9844
1324.png                        40.06      0.9925
1325.png                        40.63      0.9923
1326.png                        36.16      0.9922
1327.png                        37.66      0.9883
1328.png                        36.34      0.9818
1329.png                        36.40      0.9890
133.png                         37.73      0.9844
1330.png                        38.50      0.9905
1331.png                        32.58      0.9889
1332.png                        34.94      0.9818
1333.png                        33.73      0.9833
1334.png                        46.64      0.9938
1335.png                        42.50      0.9925
1336.png                        48.25      0.9949
1337.png                        39.26      0.9866
1338.png                        35.56      0.9776
1339.png                        42.61      0.9919
134.png                         47.39      0.9923
1340.png                        44.78      0.9924
1341.png                        42.83      0.9911
1342.png                        36.16      0.9806
1343.png                        34.39      0.9829
1344.png                        42.92      0.9917
1345.png                        41.96      0.9920
1346.png                        47.63      0.9936
1347.png                        38.26      0.9855
1348.png                        33.75      0.9746
1349.png                        46.45      0.9922
135.png                         44.16      0.9917
1350.png                        45.72      0.9919
1351.png                        42.46      0.9918
1352.png                        35.95      0.9814
1353.png                        35.36      0.9839
1354.png                        45.99      0.9935
1355.png                        43.16      0.9931
1356.png                        46.40      0.9937
1357.png                        41.87      0.9889
1358.png                        37.59      0.9820
1359.png                        43.84      0.9903
136.png                         46.95      0.9927
1360.png                        45.66      0.9914
1361.png                        40.08      0.9892
1362.png                        35.68      0.9788
1363.png                        30.07      0.9807
1364.png                        44.15      0.9923
1365.png                        43.49      0.9918
1366.png                        46.06      0.9924
1367.png                        42.19      0.9865
1368.png                        41.23      0.9797
1369.png                        46.10      0.9903
137.png                         41.15      0.9854
1370.png                        45.18      0.9909
1371.png                        45.80      0.9928
1372.png                        37.38      0.9824
1373.png                        35.91      0.9843
1374.png                        47.95      0.9939
1375.png                        43.92      0.9932
1376.png                        48.23      0.9945
1377.png                        40.01      0.9878
1378.png                        38.52      0.9799
1379.png                        44.62      0.9910
138.png                         36.65      0.9745
1380.png                        45.68      0.9925
1381.png                        42.32      0.9904
1382.png                        34.38      0.9779
1383.png                        36.67      0.9844
1384.png                        44.56      0.9922
1385.png                        42.83      0.9920
1386.png                        46.45      0.9939
1387.png                        36.60      0.9846
1388.png                        34.61      0.9753
